Year,Average of F-Scale,State,Count,Agricultural Exports,Animal Products,Plant Products,Region
2009,0.00,HI,1,301.90,25.82,276.07,Western
2010,0.00,HI,0,337.42,31.66,305.76,Western
2011,0.00,HI,1,395.39,41.70,353.68,Western
2012,0.00,HI,1,415.75,50.25,365.51,Western
2013,0.00,HI,0,357.39,14.99,342.39,Western
2014,0.00,HI,0,400.36,44.33,356.03,Western
2000,0.23,ID,13,705.99,163.93,542.06,Western
2001,0.00,ID,2,726.20,194.23,531.98,Western
2002,0.33,ID,3,760.25,194.93,565.32,Western
2003,0.00,ID,4,710.92,203.60,507.32,Western
2004,0.00,ID,5,764.66,152.98,611.68,Western
2005,0.00,ID,6,809.69,177.87,631.83,Western
2006,0.22,ID,9,913.86,214.89,698.97,Western
2007,0.00,ID,3,1209.20,317.16,892.03,Western
2008,0.00,ID,2,1484.85,396.72,1088.12,Western
2009,0.00,ID,2,1161.61,281.56,880.05,Western
2010,0.00,ID,2,1489.77,421.95,1067.82,Western
2011,0.00,ID,2,2025.80,558.24,1467.56,Western
2012,0.00,ID,2,2076.70,608.21,1468.49,Western
2013,0.00,ID,6,2255.15,757.25,1497.90,Western
2014,0.00,ID,3,2216.54,785.98,1430.56,Western
2000,0.24,IL,55,3053.82,206.95,2846.88,Mid-West
2001,0.24,IL,21,3252.43,244.19,3008.24,Mid-West
2002,0.70,IL,37,3318.24,225.68,3092.56,Mid-West
2003,0.46,IL,123,3669.41,250.28,3419.12,Mid-West
2004,0.54,IL,80,3710.71,245.27,3465.44,Mid-West
2005,0.33,IL,21,3637.45,270.13,3367.32,Mid-West
2006,0.53,IL,125,4029.57,284.09,3745.48,Mid-West
2007,0.04,IL,23,5784.74,332.07,5452.67,Mid-West
2008,0.53,IL,49,7585.44,453.50,7131.94,Mid-West
2009,0.64,IL,53,6700.39,401.61,6298.78,Mid-West
2010,0.69,IL,49,7513.67,495.16,7018.51,Mid-West
2011,1.00,IL,73,8577.94,603.08,7974.86,Mid-West
2012,0.69,IL,32,8722.15,622.31,8099.84,Mid-West
2013,1.15,IL,55,7279.53,640.08,6639.45,Mid-West
2014,0.67,IL,49,9308.14,692.39,8615.75,Mid-West
2000,0.62,IN,13,1680.47,194.51,1485.96,Mid-West
2001,0.79,IN,24,1978.12,220.84,1757.28,Mid-West
2002,1.06,IN,18,1776.98,193.48,1583.50,Mid-West
2003,0.32,IN,25,1823.46,221.06,1602.40,Mid-West
2004,0.62,IN,47,2194.40,239.10,1955.31,Mid-West
2005,1.19,IN,16,1874.13,276.19,1597.94,Mid-West
2006,0.60,IN,25,2367.43,304.22,2063.21,Mid-West
2007,0.78,IN,18,3210.76,387.00,2823.76,Mid-West
2008,0.68,IN,31,4385.02,587.16,3797.86,Mid-West
2009,1.09,IN,11,3821.45,514.20,3307.25,Mid-West
2010,0.52,IN,27,4349.80,634.44,3715.37,Mid-West
2011,0.82,IN,73,5003.24,765.36,4237.88,Mid-West
2012,1.05,IN,19,5074.54,792.45,4282.09,Mid-West
2013,1.07,IN,41,4546.17,788.21,3757.95,Mid-West
2014,0.79,IN,28,5698.31,859.01,4839.31,Mid-West
2000,0.40,IA,45,3415.98,735.23,2680.75,Mid-West
2001,0.38,IA,105,3444.80,809.92,2634.88,Mid-West
2002,0.16,IA,31,3871.45,757.36,3114.09,Mid-West
2003,0.39,IA,28,4282.23,837.91,3444.32,Mid-West
2004,0.45,IA,121,4177.65,902.64,3275.02,Mid-West
2005,0.36,IA,44,4341.59,1121.57,3220.02,Mid-West
2006,0.46,IA,39,5200.84,1270.67,3930.17,Mid-West
2007,0.65,IA,43,6761.81,1490.54,5271.27,Mid-West
2008,0.56,IA,105,9781.48,2136.73,7644.75,Mid-West
2009,0.24,IA,25,8345.80,1855.69,6490.11,Mid-West
2010,0.39,IA,33,9390.02,2197.00,7193.02,Mid-West
2011,0.92,IA,52,10697.48,2836.85,7860.63,Mid-West
2012,0.75,IA,16,11500.18,2996.14,8504.04,Mid-West
2013,0.76,IA,29,10267.87,3195.18,7072.70,Mid-West
2014,0.49,IA,55,11309.02,3592.13,7716.89,Mid-West
2000,0.32,KS,59,1912.83,652.99,1259.84,Mid-West
2001,0.35,KS,101,1954.96,666.10,1288.86,Mid-West
2002,0.32,KS,96,2021.07,644.31,1376.76,Mid-West
2003,0.65,KS,97,2233.83,726.46,1507.37,Mid-West
2004,0.40,KS,124,1878.11,355.88,1522.23,Mid-West
2005,0.30,KS,136,2178.64,453.13,1725.50,Mid-West
2006,0.28,KS,95,2303.72,586.43,1717.29,Mid-West
2007,0.46,KS,143,3371.20,700.33,2670.87,Mid-West
2008,0.54,KS,189,4164.06,834.16,3329.90,Mid-West
2009,0.24,KS,103,3464.91,715.98,2748.92,Mid-West
2010,0.21,KS,89,4599.21,976.80,3622.41,Mid-West
2011,0.40,KS,68,4657.29,1217.84,3439.45,Mid-West
2012,0.63,KS,94,4351.97,1211.75,3140.22,Mid-West
2013,0.49,KS,55,4945.12,1279.85,3665.27,Mid-West
2014,0.39,KS,41,4741.03,1355.29,3385.74,Mid-West
2000,0.96,KY,23,1286.25,656.53,629.72,South-East
2001,0.83,KY,6,1288.71,555.73,732.98,South-East
2002,0.93,KY,15,1113.13,487.30,625.82,South-East
2003,1.14,KY,36,1162.22,503.10,659.12,South-East
2004,0.64,KY,22,1260.17,527.75,732.42,South-East
2005,1.47,KY,19,1313.04,572.67,740.37,South-East
2006,1.10,KY,20,1454.46,648.06,806.40,South-East
2007,1.07,KY,30,1708.02,804.34,903.69,South-East
2008,1.28,KY,36,1420.50,362.93,1057.58,South-East
2009,0.79,KY,33,1387.55,339.60,1047.95,South-East
2010,0.60,KY,20,1555.77,428.59,1127.17,South-East
2011,0.97,KY,60,1827.76,502.74,1325.02,South-East
2012,1.51,KY,47,1822.84,543.32,1279.53,South-East
2013,1.00,KY,39,2444.33,882.36,1561.97,South-East
2014,0.82,KY,28,2526.39,832.06,1694.33,South-East
2000,0.86,LA,43,609.87,96.90,512.97,South-East
2001,0.71,LA,34,602.01,117.28,484.73,South-East
2002,0.65,LA,34,594.65,105.54,489.11,South-East
2003,0.65,LA,23,787.91,106.22,681.69,South-East
2004,0.69,LA,29,794.68,99.82,694.86,South-East
2005,0.65,LA,23,776.11,118.14,657.97,South-East
2006,0.49,LA,43,822.31,116.95,705.37,South-East
2007,0.83,LA,24,1130.35,153.36,977.00,South-East
2008,0.39,LA,79,1365.27,279.24,1086.04,South-East
2009,0.42,LA,76,1259.32,254.12,1005.20,South-East
2010,0.81,LA,26,1579.55,295.59,1283.96,South-East
2011,0.79,LA,62,1785.97,317.27,1468.70,South-East
2012,0.42,LA,45,1972.07,282.38,1689.69,South-East
2013,0.51,LA,35,1877.74,261.53,1616.21,South-East
2014,0.93,LA,15,1930.03,273.32,1656.70,South-East
2000,1.50,ME,2,145.50,83.55,61.95,North-East
2001,1.00,ME,2,146.38,85.84,60.55,North-East
2002,0.67,ME,3,123.07,69.03,54.04,North-East
2003,0.00,ME,0,120.54,63.03,57.51,North-East
2004,0.00,ME,1,124.18,65.16,59.02,North-East
2005,0.50,ME,2,131.57,59.36,72.21,North-East
2006,1.00,ME,1,147.53,63.13,84.40,North-East
2007,0.00,ME,1,166.81,58.57,108.24,North-East
2008,0.00,ME,0,203.30,48.18,155.12,North-East
2009,0.57,ME,7,193.51,48.34,145.17,North-East
2010,0.60,ME,5,253.49,85.50,167.99,North-East
2011,0.40,ME,5,288.06,97.13,190.92,North-East
2012,0.00,ME,1,296.05,93.50,202.55,North-East
2013,0.25,ME,4,297.57,91.58,205.99,North-East
2014,0.50,ME,4,308.80,91.86,216.93,North-East
2000,0.75,MD,8,336.28,100.29,235.99,South-East
2001,0.70,MD,10,363.08,107.04,256.04,South-East
2002,1.21,MD,14,315.19,90.02,225.17,South-East
2003,0.30,MD,10,277.63,74.72,202.90,South-East
2004,0.70,MD,20,320.83,76.68,244.14,South-East
2005,0.00,MD,0,313.70,95.75,217.96,South-East
2006,0.33,MD,3,334.61,95.57,239.04,South-East
2007,0.50,MD,2,424.87,134.85,290.02,South-East
2008,0.13,MD,8,542.34,162.00,380.35,South-East
2009,0.40,MD,10,531.22,135.14,396.08,South-East
2010,0.25,MD,4,582.26,146.80,435.46,South-East
2011,0.19,MD,27,635.49,183.99,451.50,South-East
2012,0.25,MD,16,739.26,207.86,531.41,South-East
2013,0.00,MD,10,755.25,212.59,542.66,South-East
2014,0.00,MD,2,750.38,203.80,546.58,South-East
2000,1.00,MA,1,106.31,15.05,91.26,North-East
2001,0.50,MA,2,99.48,15.97,83.51,North-East
2002,1.00,MA,1,108.37,14.68,93.69,North-East
2003,0.00,MA,0,111.74,14.36,97.38,North-East
2004,0.50,MA,2,118.16,13.30,104.86,North-East
2005,0.00,MA,1,121.66,15.08,106.59,North-East
2006,2.00,MA,1,143.21,16.67,126.53,North-East
2007,0.00,MA,1,171.74,30.12,141.62,North-East
2008,0.00,MA,1,248.89,49.84,199.05,North-East
2009,0.00,MA,0,192.80,22.51,170.29,North-East
2010,0.00,MA,0,214.41,32.58,181.84,North-East
2011,1.00,MA,4,245.63,38.44,207.19,North-East
2012,0.00,MA,1,234.79,38.23,196.55,North-East
2013,0.00,MA,2,196.00,35.86,160.14,North-East
2014,1.00,MA,3,209.83,35.29,174.53,North-East
2000,0.50,MI,4,903.03,127.25,775.78,Mid-West
2001,0.46,MI,35,962.32,137.70,824.62,Mid-West
2002,0.33,MI,12,957.03,126.30,830.73,Mid-West
2003,0.54,MI,13,1093.61,131.08,962.53,Mid-West
2004,0.26,MI,23,1128.73,149.20,979.53,Mid-West
2005,0.40,MI,5,1140.24,164.33,975.91,Mid-West
2006,0.10,MI,10,1423.73,188.84,1234.89,Mid-West
2007,1.04,MI,23,1818.23,278.10,1540.13,Mid-West
2008,0.57,MI,14,2351.06,357.16,1993.90,Mid-West
2009,1.67,MI,3,1931.80,267.26,1664.54,Mid-West
2010,0.59,MI,27,2406.63,384.00,2022.63,Mid-West
2011,0.27,MI,15,3043.37,492.80,2550.57,Mid-West
2012,1.33,MI,6,3044.09,501.89,2542.20,Mid-West
2013,0.64,MI,11,3154.22,606.46,2547.76,Mid-West
2014,0.54,MI,13,3179.21,636.80,2542.41,Mid-West
2000,0.53,MN,32,2184.83,412.79,1772.05,Mid-West
2001,0.37,MN,73,2186.46,491.93,1694.52,Mid-West
2002,0.35,MN,34,2489.44,438.50,2050.94,Mid-West
2003,0.36,MN,47,2816.94,496.11,2320.83,Mid-West
2004,0.42,MN,59,2779.47,541.84,2237.63,Mid-West
2005,0.63,MN,71,2693.34,639.29,2054.05,Mid-West
2006,0.76,MN,25,3481.26,705.60,2775.66,Mid-West
2007,0.44,MN,18,4423.48,861.64,3561.84,Mid-West
2008,0.64,MN,44,6689.16,1211.40,5477.76,Mid-West
2009,0.38,MN,24,5156.86,1045.70,4111.16,Mid-West
2010,0.67,MN,114,6175.98,1261.08,4914.90,Mid-West
2011,0.56,MN,32,7074.38,1495.59,5578.79,Mid-West
2012,0.08,MN,36,7835.69,1609.95,6225.74,Mid-West
2013,0.33,MN,15,7872.51,1629.84,6242.68,Mid-West
2014,0.42,MN,24,7347.36,1726.99,5620.37,Mid-West
2000,0.30,MS,27,2184.83,338.04,413.63,South-East
2001,0.62,MS,61,2186.46,355.31,482.81,South-East
2002,0.69,MS,32,2489.44,298.86,482.94,South-East
2003,0.43,MS,51,2816.94,298.54,839.27,South-East
2004,0.78,MS,55,2779.47,317.05,842.76,South-East
2005,0.75,MS,105,2693.34,371.24,719.37,South-East
2006,0.70,MS,33,3481.26,348.34,802.16,South-East
2007,0.76,MS,33,4423.48,445.01,1020.98,South-East
2008,0.80,MS,111,6689.16,548.87,1274.81,South-East
2009,0.72,MS,46,5156.86,492.82,1139.12,South-East
2010,1.26,MS,43,6175.98,537.26,1290.60,South-East
2011,1.37,MS,107,7074.38,588.53,1530.87,South-East
2012,0.98,MS,49,7835.69,605.18,1983.00,South-East
2013,1.09,MS,33,7872.51,593.33,1777.79,South-East
2014,1.19,MS,42,7347.36,573.17,1831.88,South-East
2000,0.41,MO,27,1329.34,314.02,1015.32,Mid-West
2001,0.53,MO,40,1441.41,331.94,1109.47,Mid-West
2002,0.79,MO,28,1294.81,279.03,1015.78,Mid-West
2003,0.66,MO,88,1693.57,322.23,1371.33,Mid-West
2004,0.54,MO,71,1723.00,290.13,1432.87,Mid-West
2005,0.49,MO,39,1680.23,344.08,1336.16,Mid-West
2006,0.99,MO,106,1844.91,400.62,1444.29,Mid-West
2007,0.36,MO,42,2573.00,513.63,2059.37,Mid-West
2008,0.64,MO,96,3574.66,662.25,2912.41,Mid-West
2009,0.82,MO,44,2974.53,585.08,2389.44,Mid-West
2010,0.53,MO,64,3531.52,641.16,2890.36,Mid-West
2011,0.76,MO,79,4068.65,784.34,3284.31,Mid-West
2012,0.93,MO,30,3903.54,812.16,3091.38,Mid-West
2013,0.84,MO,51,3931.41,792.81,3138.60,Mid-West
2014,0.57,MO,47,4350.36,891.24,3459.12,Mid-West
2000,0.00,MT,10,495.62,141.20,354.42,Western
2001,0.33,MT,9,453.79,146.16,307.63,Western
2002,0.27,MT,11,496.09,132.01,364.08,Western
2003,0.17,MT,6,509.41,143.08,366.33,Western
2004,0.00,MT,6,620.34,81.80,538.54,Western
2005,0.00,MT,10,627.84,94.54,533.30,Western
2006,1.00,MT,1,658.95,114.07,544.89,Western
2007,0.60,MT,5,937.83,121.84,815.99,Western
2008,0.00,MT,2,1112.21,148.70,963.51,Western
2009,0.00,MT,4,803.84,146.15,657.69,Western
2010,1.30,MT,10,1060.69,183.41,877.28,Western
2011,0.33,MT,9,1710.61,236.12,1474.49,Western
2012,0.33,MT,3,1257.08,241.64,1015.44,Western
2013,0.50,MT,6,1592.08,277.34,1314.74,Western
2014,0.38,MT,8,1522.16,314.06,1208.10,Western
2000,0.27,NE,60,2257.68,708.84,1548.84,Mid-West
2001,0.47,NE,62,2389.54,757.71,1631.83,Mid-West
2002,0.04,NE,27,2444.47,739.95,1704.52,Mid-West
2003,0.23,NE,81,2811.03,834.54,1976.49,Mid-West
2004,0.31,NE,112,2304.03,456.45,1847.59,Mid-West
2005,0.10,NE,40,2456.16,555.30,1900.87,Mid-West
2006,0.36,NE,22,3040.63,708.47,2332.16,Mid-West
2007,0.55,NE,47,4136.72,869.21,3267.51,Mid-West
2008,0.67,NE,61,5432.39,1014.83,4417.56,Mid-West
2009,0.44,NE,39,4997.94,873.15,4124.79,Mid-West
2010,0.22,NE,37,5332.68,1125.36,4207.32,Mid-West
2011,0.47,NE,55,7211.32,1441.49,5769.84,Mid-West
2012,0.40,NE,43,6756.49,1530.79,5225.70,Mid-West
2013,0.52,NE,52,6314.40,1660.68,4653.73,Mid-West
2014,0.90,NE,62,7262.16,1887.82,5374.34,Mid-West
2000,0.50,NV,2,64.05,28.60,35.45,Western
2001,1.00,NV,1,67.81,32.71,35.10,Western
2002,0.00,NV,1,56.02,26.40,29.62,Western
2003,0.00,NV,3,58.87,29.95,28.91,Western
2004,0.00,NV,5,53.91,19.82,34.09,Western
2005,0.00,NV,1,61.98,23.46,38.52,Western
2006,0.00,NV,1,76.06,27.40,48.66,Western
2007,0.00,NV,0,82.91,34.24,48.67,Western
2008,0.00,NV,0,100.23,34.17,66.05,Western
2009,0.00,NV,2,97.40,31.47,65.92,Western
2010,0.00,NV,0,111.01,45.73,65.28,Western
2011,0.00,NV,1,145.59,60.36,85.23,Western
2012,0.00,NV,2,140.84,68.26,72.58,Western
2013,0.00,NV,0,147.40,73.97,73.43,Western
2014,0.00,NV,6,168.87,83.93,84.94,Western
2000,0.00,NH,0,32.55,5.61,26.94,North-East
2001,0.00,NH,0,33.11,6.81,26.30,North-East
2002,0.00,NH,0,32.23,6.72,25.51,North-East
2003,0.00,NH,0,35.63,6.89,28.74,North-East
2004,0.00,NH,1,37.52,6.92,30.60,North-East
2005,0.00,NH,0,38.30,7.78,30.52,North-East
2006,1.00,NH,2,42.58,8.66,33.93,North-East
2007,0.00,NH,0,52.03,12.04,39.99,North-East
2008,1.00,NH,2,69.84,14.54,55.30,North-East
2009,0.00,NH,0,63.28,12.17,51.11,North-East
2010,0.00,NH,1,69.65,16.65,53.00,North-East
2011,0.50,NH,2,76.45,19.20,57.25,North-East
2012,0.00,NH,2,78.25,22.07,56.18,North-East
2013,0.00,NH,0,79.67,23.24,56.43,North-East
2014,0.00,NH,2,87.91,24.67,63.24,North-East
2000,0.00,NJ,0,247.93,56.46,191.47,North-East
2001,1.50,NJ,2,253.11,57.62,195.49,North-East
2002,0.00,NJ,0,255.18,54.45,200.73,North-East
2003,0.43,NJ,7,263.91,50.06,213.85,North-East
2004,0.50,NJ,2,269.82,44.66,225.16,North-East
2005,0.00,NJ,0,293.64,47.46,246.18,North-East
2006,0.00,NJ,1,337.96,45.38,292.58,North-East
2007,0.00,NJ,0,399.72,57.89,341.83,North-East
2008,0.00,NJ,0,406.29,23.72,382.57,North-East
2009,2.00,NJ,2,388.51,22.61,365.91,North-East
2010,1.00,NJ,1,424.51,31.57,392.94,North-East
2011,0.00,NJ,2,484.32,38.20,446.12,North-East
2012,0.00,NJ,1,512.50,34.22,478.27,North-East
2013,0.33,NJ,3,307.01,32.95,274.06,North-East
2014,0.00,NJ,0,531.30,38.34,492.96,North-East
2000,0.00,NM,5,324.64,149.87,174.77,Western
2001,0.00,NM,5,331.13,144.50,186.62,Western
2002,0.00,NM,3,288.44,117.49,170.94,Western
2003,0.00,NM,7,317.62,135.73,181.88,Western
2004,0.09,NM,11,321.57,105.82,215.74,Western
2005,0.00,NM,7,371.75,123.39,248.35,Western
2006,0.20,NM,5,398.75,150.61,248.13,Western
2007,0.23,NM,22,491.01,211.00,280.01,Western
2008,0.00,NM,11,543.78,263.18,280.60,Western
2009,0.00,NM,4,497.86,192.59,305.27,Western
2010,0.75,NM,12,691.68,288.83,402.85,Western
2011,0.00,NM,2,795.96,384.47,411.50,Western
2012,0.33,NM,6,745.27,391.74,353.52,Western
2013,0.00,NM,2,739.46,399.03,340.43,Western
2014,0.14,NM,14,770.31,410.47,359.84,Western
2000,0.80,NY,5,498.73,158.12,340.61,North-East
2001,0.00,NY,3,511.04,168.59,342.45,North-East
2002,0.67,NY,15,501.39,156.54,344.85,North-East
2003,0.72,NY,18,483.51,126.53,356.98,North-East
2004,0.13,NY,8,539.06,143.54,395.53,North-East
2005,0.75,NY,4,577.33,164.74,412.59,North-East
2006,0.88,NY,8,670.31,177.81,492.50,North-East
2007,1.33,NY,3,869.45,265.56,603.90,North-East
2008,0.00,NY,2,1237.29,347.36,889.94,North-East
2009,0.50,NY,10,1026.71,240.53,786.18,North-East
2010,0.92,NY,13,1261.73,370.83,890.90,North-East
2011,0.90,NY,21,1457.80,476.69,981.10,North-East
2012,0.75,NY,8,1521.91,509.85,1012.06,North-East
2013,0.83,NY,6,1633.45,613.67,1019.77,North-East
2014,1.18,NY,11,1694.77,654.57,1040.20,North-East
2000,0.04,NC,23,1870.01,523.98,1346.03,South-East
2001,0.15,NC,13,2045.59,604.98,1440.60,South-East
2002,0.55,NC,11,1735.56,539.24,1196.32,South-East
2003,0.25,NC,36,1856.15,553.69,1302.46,South-East
2004,0.31,NC,67,2182.72,674.38,1508.34,South-East
2005,0.61,NC,23,2103.80,811.08,1292.72,South-East
2006,0.55,NC,31,2368.94,821.62,1547.32,South-East
2007,0.08,NC,13,2671.38,985.69,1685.68,South-East
2008,0.56,NC,55,3377.79,1371.20,2006.59,South-East
